1|1001|1|LBALESTRA|30/10/2019|30|31/10/2019
3|1002|2|LBALESTRA|30/10/2019|20|
66|1010|4|LBALESTRA|29/10/2019|5|
114|1015|5|CARLOSS|28/10/2019|10|
137|1020|6|LBALESTRA|27/10/2019|10|
154|1025|20|LBALESTRA|27/10/2019|5|
155|1025|7|CARLOSS|25/10/2019|25|28/10/2019
156|1025|22|LBALESTRA|24/10/2019|20|
174|1030|6|LBALESTRA|24/10/2019|20|
201|1035|23|LBALESTRA|24/10/2019|15|
202|1035|8|CARLOSS|24/10/2019|30|29/10/2019
220|1040|5|LBALESTRA|23/10/2019|25|
266|1050|11|CARLOSS|23/10/2019|20|
309|1065|12|LBALESTRA|22/10/2019|10|
378|1098|1|LBALESTRA|22/10/2019|5|29/10/2019
363|1091|8|CARLOSS|21/10/2019|20|
343|1083|1|LBALESTRA|21/10/2019|30|
108|1014|9|LBALESTRA|20/10/2019|25|
26|1005|2|LBALESTRA|20/10/2019|10|29/10/2019
27|1005|21|CARLOSS|19/10/2019|15|
290|1056|24|LBALESTRA|18/10/2019|15|
221|1040|6|CARLOSS|18/10/2019|5|25/10/2019
355|1089|19|LBALESTRA|17/10/2019|20|
319|1072|22|LBALESTRA|16/10/2019|25|
320|1073|12|CARLOSS|16/10/2019|25|
379|1099|14|LBALESTRA|15/10/2019|5|20/10/2019
380|1099|15|CARLOSS|14/10/2019|5|19/10/2019
68|1010|24|LBALESTRA|30/10/2019|25|
98|1013|15|LBALESTRA|30/10/2019|15|
4|1002|9|LBALESTRA|30/10/2019|10|
99|1013|19|LBALESTRA|30/10/2019|10|
67|1010|8|LBALESTRA|30/10/2019|25|
